"Date";"Team";"Player";"Notes"
"2010-02-22";"Jazz";"Deron Williams";"bruised right quadricep (DNP)"
"2010-02-22";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-02-22";"Mavericks";"Erick Dampier";"recovering from surgery to repair dislocated right middle finger (DNP)"
"2010-02-22";"Pacers";"A.J. Price";"returned to lineup"
"2010-02-23";"76ers";"Willie Green";"strained left shoulder (DNP)"
"2010-02-23";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-02-23";"Lakers";"Luke Walton";"pinched nerve in back (DNP)"
"2010-02-23";"Suns";"Steve Nash";"sore lower back (DNP)"
"2010-02-23";"Warriors";"Corey Maggette";"strained left hamstring (DNP)"
"2010-02-23";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-02-23";"Wizards";"Josh Howard";"torn ACL in left knee (out for season)"
"2010-02-23";"76ers";"Jason Smith";"sprained right ankle (DNP)"
"2010-02-24";"76ers";"Jason Smith";"sprained right ankle (DNP)"
"2010-02-24";"76ers";"Willie Green";"strained left shoulder (DNP)"
"2010-02-24";"Blazers";"Marcus Camby";"sprained right ankle (DNP)"
"2010-02-24";"Bobcats";"Nazr Mohammed";"back spasms (DNP)"
"2010-02-24";"Bobcats";"Tyson Chandler";"sore left foot and ankle (DNP)"
"2010-02-24";"Hornets";"Darius Songaila";"sprained right ankle (DNP)"
"2010-02-24";"Jazz";"Andrei Kirilenko";"back spasms (DNP)"
"2010-02-24";"Lakers";"Luke Walton";"pinched nerve in back (DNP)"
"2010-02-24";"Mavericks";"Caron Butler";"reaction to medication (DNP)"
"2010-02-25";"Kings";"Jason Thompson";"fractured lower back (out indefinitely)"
"2010-02-25";"Warriors";"C.J. Watson";"flu-like symptoms (DNP)"
"2010-02-25";"Warriors";"Corey Maggette";"strained left hamstring (DNP)"
"2010-02-25";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-02-26";"76ers";"Jason Smith";"sprained right ankle (DNP)"
"2010-02-26";"76ers";"Willie Green";"bruised left shoulder (DNP)"
"2010-02-26";"Bobcats";"Nazr Mohammed";"back spasms (DNP)"
"2010-02-26";"Bobcats";"Tyson Chandler";"sore left foot and ankle (DNP)"
"2010-02-26";"Hornets";"Darius Songaila";"sprained right ankle (DNP)"
"2010-02-26";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-02-26";"Lakers";"Luke Walton";"pinched nerve in back (DNP)"
"2010-02-26";"Mavericks";"Caron Butler";"reaction to medication (DNP)"
"2010-02-26";"Nuggets";"Kenyon Martin";"bruised left knee (DNP)"
"2010-02-27";"Bulls";"Joakim Noah";"plantar fasciaitis in left foot (DNP)"
"2010-02-27";"Jazz";"Andrei Kirilenko";"back spasms (DNP)"
"2010-02-27";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-02-27";"Rockets";"Shane Battier";"flu-like symptoms (DNP)"
"2010-02-27";"Warriors";"Corey Maggette";"strained left hamstring (DNP)"
"2010-02-27";"Warriors";"Monta Ellis";"sore back (DNP)"
"2010-02-27";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-02-28";"Hornets";"Darius Songaila";"sprained right ankle (DNP)"
"2010-02-28";"Lakers";"Luke Walton";"pinched nerve in back (DNP)"
"2010-03-01";"76ers";"Elton Brand";"right Achilles tendinitis (DNP)"
"2010-03-01";"Bobcats";"Nazr Mohammed";"back spasms (DNP)"
"2010-03-01";"Bobcats";"Tyson Chandler";"sore left foot (DNP)"
"2010-03-01";"Bulls";"Luol Deng";"swollen left knee (DNP)"
"2010-03-01";"Cavaliers";"Shaquille O'Neal";"surgery on right thumb (out indefinitely)"
"2010-03-01";"Grizzlies";"Steven Hunter";"sore left knee (DNP)"
"2010-03-01";"Hornets";"Darius Songaila";"sprained right ankle (DNP)"
"2010-03-01";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-03-01";"Nuggets";"Ty Lawson";"bruised left shoulder (DTD)"
"2010-03-01";"Spurs";"Antonio McDyess";"hyperextended left knee (DTD)"
"2010-03-02";"Lakers";"Luke Walton";"pinched nerve in back (DNP)"
"2010-03-02";"Warriors";"Andris Biedrins";"sports hernia (DNP)"
"2010-03-02";"Warriors";"Corey Maggette";"strained left hamstring (DNP)"
"2010-03-02";"Warriors";"Monta Ellis";"strained lower back (DNP)"
"2010-03-02";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-02";"Pistons";"Kwame Brown";"cold (DNP)"
"2010-03-03";"76ers";"Elton Brand";"right Achilles tendinitis (DNP)"
"2010-03-03";"Bobcats";"Nazr Mohammed";"back spasms (DNP)"
"2010-03-03";"Bobcats";"Tyson Chandler";"sore left foot (DNP)"
"2010-03-03";"Cavaliers";"Delonte West";"finger injury (DNP)"
"2010-03-03";"Grizzlies";"Steven Hunter";"sore left knee (DNP)"
"2010-03-03";"Hornets";"Sean Marks";"strained left shoulder (DTD)"
"2010-03-03";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-03-03";"Mavericks";"Jason Kidd";"rest (DNP)"
"2010-03-03";"Timberwolves";"Wayne Ellington";"sprained left ankle (DNP)"
"2010-03-03";"Warriors";"Andris Biedrins";"sports hernia (DNP)"
"2010-03-03";"Warriors";"Corey Maggette";"strained left hamstring (DNP)"
"2010-03-03";"Warriors";"Monta Ellis";"strained lower back (DNP)"
"2010-03-03";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-04";"Grizzlies";"Steven Hunter";"sore left knee (DNP)"
"2010-03-04";"Lakers";"Luke Walton";"pinched nerve in back (DNP)"
"2010-03-04";"Mavericks";"Jason Terry";"facial injury (out indefinitely)"
"2010-03-04";"Suns";"Goran Dragic";"sprained right ankle (DNP)"
"2010-03-05";"Bobcats";"Nazr Mohammed";"back spasms (DNP)"
"2010-03-05";"Hornets";"Sean Marks";"strained right shoulder (DNP)"
"2010-03-05";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-03-05";"Lakers";"Luke Walton";"pinched nerve in back (DNP)"
"2010-03-05";"Nuggets";"Kenyon Martin";"left knee patella tendinitis (DNP)"
"2010-03-05";"Pistons";"Chucky Atkins";"sternum injury (out indefinitely)"
"2010-03-05";"Pistons";"Rodney Stuckey";"hospitalized after collapsing during a timeout"
"2010-03-05";"Warriors";"Andris Biedrins";"sports hernia (DNP)"
"2010-03-05";"Warriors";"Monta Ellis";"strained lower back (DNP)"
"2010-03-05";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-06";"Cavaliers";"LeBron James";"sore right ankle (DTD)"
"2010-03-07";"Blazers";"Joel Przybilla";"re-ruptured right patella tendon (out for season)"
"2010-03-07";"Lakers";"Luke Walton";"pinched nerve in back (DNP)"
"2010-03-07";"Mavericks";"Brendan Haywood";"back injury (DTD)"
"2010-03-07";"Rockets";"David Andersen";"sore lower back (DNP)"
"2010-03-07";"Nuggets";"Ty Lawson";"bruised left shoulder (DTD)"
"2010-03-08";"Grizzlies";"Zach Randolph";"tightness in lower back (DNP)"
"2010-03-08";"Hornets";"Aaron Gray";"stomach virus (DNP)"
"2010-03-08";"Hornets";"Sean Marks";"strained right shoulder (DNP)"
"2010-03-08";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-03-08";"Knicks";"Tracy McGrady";"body soreness (DNP)"
"2010-03-08";"Mavericks";"Brendan Haywood";"tightness in lower back (DNP)"
"2010-03-08";"Spurs";"Tony Parker (b)";"broken bone in right hand (DNP)"
"2010-03-08";"Warriors";"Andris Biedrins";"sports hernia (DNP)"
"2010-03-08";"Warriors";"Monta Ellis";"strained lower back (DNP)"
"2010-03-08";"Warriors";"Ronny Turiaf";"sore left knee (DNP)"
"2010-03-08";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-09";"76ers";"Marreese Speights";"sprained right knee (DNP)"
"2010-03-09";"Bobcats";"Nazr Mohammed";"back spasms (DNP)"
"2010-03-10";"76ers";"Marreese Speights";"sprained right knee (DNP)"
"2010-03-10";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-10";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-03-10";"Mavericks";"Jose Juan Barea / Jose Barea / J.J. Barea";"sprained left ankle (DNP)"
"2010-03-10";"Pistons";"Chucky Atkins";"returned to lineup"
"2010-03-10";"Warriors";"Andris Biedrins";"surgery to repair small tear of abdominal muscle (out indefinitely)"
"2010-03-11";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (DNP)"
"2010-03-11";"Warriors";"Ronny Turiaf";"sore left knee (DNP)"
"2010-03-11";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-12";"76ers";"Jason Kapono";"sinus infection (DTD)"
"2010-03-12";"76ers";"Marreese Speights";"sprained right knee (DNP)"
"2010-03-12";"Bobcats";"Nazr Mohammed";"back spasms (DNP)"
"2010-03-12";"Bulls";"Derrick Rose";"sprained left wrist (DNP)"
"2010-03-12";"Heat";"Michael Beasley";"bruised left thigh (DNP)"
"2010-03-12";"Hornets";"James Posey";"flu-like symptoms (DNP)"
"2010-03-12";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-12";"Hornets";"Sean Marks";"strained right shoulder (DNP)"
"2010-03-12";"Jazz";"Ronnie Price";"bruised right wrist (DNP)"
"2010-03-12";"Kings";"Andres Nocioni";"surgery on back (DNP)"
"2010-03-12";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-03-13";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-03-13";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (DNP)"
"2010-03-13";"Warriors";"Ronny Turiaf";"sore left knee (DNP)"
"2010-03-13";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-14";"76ers";"Marreese Speights";"sprained right knee (DNP)"
"2010-03-14";"Bobcats";"Gerald Wallace";"sprained left ankle (DNP)"
"2010-03-14";"Bobcats";"Nazr Mohammed";"back spasms (DNP)"
"2010-03-14";"Heat";"Michael Beasley";"bruised left thigh (DNP)"
"2010-03-14";"Hornets";"James Posey";"flu-like symptoms (DNP)"
"2010-03-14";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-14";"Hornets";"Sean Marks";"strained right shoulder (DNP)"
"2010-03-14";"Jazz";"Andrei Kirilenko";"strained left calf (DNP)"
"2010-03-14";"Jazz";"Mehmet Okur";"strained back (DNP)"
"2010-03-14";"Jazz";"Ronnie Price";"sprained right wrist (DNP)"
"2010-03-14";"Pacers";"Mike Dunleavy Jr.";"bruised right eye (DNP)"
"2010-03-14";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-03-15";"76ers";"Louis Williams / Lou Williams";"sore lower back (DNP)"
"2010-03-15";"76ers";"Marreese Speights";"sprained right knee (DNP)"
"2010-03-15";"Hornets";"James Posey";"flu-like symptoms (DNP)"
"2010-03-15";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-15";"Jazz";"Andrei Kirilenko";"strained left calf (DNP)"
"2010-03-15";"Jazz";"Ronnie Price";"sprained right wrist (DNP)"
"2010-03-15";"Knicks";"J.R. Giddens";"recovering from surgery on left knee (DNP)"
"2010-03-15";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-03-15";"Warriors";"Ronny Turiaf";"sore left knee (DNP)"
"2010-03-15";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-15";"Hornets";"Sean Marks";"surgery on right shoulder (out for season)"
"2010-03-15";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-03-16";"Bobcats";"Gerald Wallace";"sprained left ankle (DNP)"
"2010-03-16";"Bulls";"Derrick Rose";"sprained left wrist (DNP)"
"2010-03-16";"Grizzlies";"Marc Gasol";"strained neck muscle (DNP)"
"2010-03-16";"Nuggets";"Chris Andersen";"sprained left ankle (DNP)"
"2010-03-16";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-03-16";"Wizards";"Josh Howard";"surgery on left knee to repair torn ACL (out for season)"
"2010-03-17";"76ers";"Marreese Speights";"sprained right knee (DNP)"
"2010-03-17";"76ers";"Thaddeus Young";"fractured right thumb (DNP)"
"2010-03-17";"Bobcats";"Gerald Wallace";"left ankle injury (DNP)"
"2010-03-17";"Bobcats";"Nazr Mohammed";"back spasms (DNP)"
"2010-03-17";"Bulls";"Derrick Rose";"sprained left wrist (DNP)"
"2010-03-17";"Grizzlies";"Marc Gasol";"strained neck muscle (DNP)"
"2010-03-17";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-17";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-03-17";"Knicks";"Eddie House";"sore right Achilles tendon (DNP)"
"2010-03-17";"Knicks";"Wilson Chandler";"sore left groin (DNP)"
"2010-03-17";"Pacers";"Danny Granger";"cheekbone injury (DNP)"
"2010-03-17";"Pacers";"T.J. Ford";"sore left groin (DNP)"
"2010-03-17";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-03-17";"Warriors";"Ronny Turiaf";"sore left knee (DNP)"
"2010-03-17";"Warriors";"Stephen Curry";"sprained left ankle (DNP)"
"2010-03-17";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-18";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-18";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-03-18";"Nuggets";"Renaldo Balkman";"strained back (DNP)"
"2010-03-18";"Nuggets";"Ty Lawson";"bruised left shoulder (DNP)"
"2010-03-19";"76ers";"Thaddeus Young";"fractured right thumb (DNP)"
"2010-03-19";"Bobcats";"Nazr Mohammed";"back spasms (DNP)"
"2010-03-19";"Bulls";"Derrick Rose";"sprained left wrist (DNP)"
"2010-03-19";"Jazz";"Andrei Kirilenko";"strained left calf (DNP)"
"2010-03-19";"Knicks";"David Lee";"patella tendinitis in right knee (DNP)"
"2010-03-19";"Knicks";"Eddie House";"sore right Achilles tendon (DNP)"
"2010-03-19";"Knicks";"Wilson Chandler";"sore left groin (DNP)"
"2010-03-19";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-03-19";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-03-19";"Warriors";"Ronny Turiaf";"sore left knee (DNP)"
"2010-03-19";"Warriors";"Stephen Curry";"sprained left ankle (DNP)"
"2010-03-19";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-19";"Wizards";"Earl Boykins";"viral infection (DNP)"
"2010-03-20";"76ers";"Thaddeus Young";"fractured right thumb (DNP)"
"2010-03-20";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-20";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-03-20";"Jazz";"Andrei Kirilenko";"strained left calf (DNP)"
"2010-03-20";"Jazz";"Mehmet Okur";"stomach virus (DNP)"
"2010-03-20";"Kings";"Tyreke Evans";"bruised jaw (DTD)"
"2010-03-20";"Lakers";"Andrew Bynum";"strained left Achilles tendon (DTD)"
"2010-03-20";"Nuggets";"Renaldo Balkman";"strained back (DNP)"
"2010-03-20";"Nuggets";"Ty Lawson";"bruised left shoulder (DNP)"
"2010-03-20";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-03-20";"Warriors";"Ronny Turiaf";"sore left knee (DNP)"
"2010-03-20";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-21";"Blazers";"Rudy Fernandez";"strained left quadriceps (DNP)"
"2010-03-21";"Knicks";"Eddie House";"sore right Achilles tendon (DNP)"
"2010-03-21";"Knicks";"Jonathan Bender";"fractured finger on left hand (DNP)"
"2010-03-21";"Knicks";"Wilson Chandler";"sore left groin (DNP)"
"2010-03-21";"Lakers";"Andrew Bynum";"strained left Achilles tendon (DNP)"
"2010-03-21";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-03-21";"Wizards";"Earl Boykins";"illness (DNP)"
"2010-03-22";"76ers";"Louis Williams / Lou Williams";"sore lower back (DNP)"
"2010-03-22";"76ers";"Thaddeus Young";"fractured right thumb (DNP)"
"2010-03-22";"Jazz";"Kyrylo Fesenko";"stomach flu (DNP)"
"2010-03-22";"Rockets";"David Andersen";"sore back (DNP)"
"2010-03-22";"Rockets";"Shane Battier";"sprained MCL in left knee (DNP)"
"2010-03-22";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-03-22";"Warriors";"Ronny Turiaf";"sore left knee (DNP)"
"2010-03-22";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-23";"Knicks";"Eddie House";"sore right Achilles tendon (DNP)"
"2010-03-23";"Knicks";"Jonathan Bender";"fractured finger on left hand (DNP)"
"2010-03-23";"Knicks";"Wilson Chandler";"sore left groin (DNP)"
"2010-03-23";"Nuggets";"Ty Lawson";"bruised left shoulder (DNP)"
"2010-03-23";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-03-24";"76ers";"Louis Williams / Lou Williams";"sore lower back (DNP)"
"2010-03-24";"76ers";"Thaddeus Young";"fractured right thumb (DNP)"
"2010-03-24";"Grizzlies";"Ronnie Brewer";"DNP"
"2010-03-24";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-24";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-03-24";"Lakers";"Andrew Bynum";"strained left Achilles tendon (DNP)"
"2010-03-24";"Pacers";"Roy Hibbert";"sprained jaw (DNP)"
"2010-03-24";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-03-24";"Rockets";"Jared Jeffries";"sore left Achilles tendon (DNP)"
"2010-03-24";"Rockets";"Jordan Hill";"sprained left ankle (DNP)"
"2010-03-24";"Rockets";"Shane Battier";"sprained MCL in left knee (DNP)"
"2010-03-24";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-03-24";"Warriors";"Ronny Turiaf";"sore left knee (DNP)"
"2010-03-24";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-25";"Rockets";"Jared Jeffries";"strained left Achilles tendon (DNP)"
"2010-03-25";"Rockets";"Jordan Hill";"sprained left ankle (DNP)"
"2010-03-25";"Rockets";"Kevin Martin";"sore left shoulder (DNP)"
"2010-03-26";"76ers";"Louis Williams / Lou Williams";"sore lower back (DNP)"
"2010-03-26";"76ers";"Thaddeus Young";"fractured right thumb (DNP)"
"2010-03-26";"Bucks";"Ersan Ilyasova";"flu (DNP)"
"2010-03-26";"Knicks";"Jonathan Bender";"fractured finger on left hand (DNP)"
"2010-03-26";"Knicks";"Wilson Chandler";"sore left groin (DNP)"
"2010-03-26";"Lakers";"Andrew Bynum";"strained left Achilles tendon (DNP)"
"2010-03-26";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-03-26";"Wizards";"Al Thornton";"strained right hip flexor (DNP)"
"2010-03-27";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-27";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-03-27";"Jazz";"Andrei Kirilenko";"strained left calf (DTD)"
"2010-03-27";"Lakers";"Andrew Bynum";"strained left Achilles tendon (DNP)"
"2010-03-27";"Mavericks";"Erick Dampier";"rest (DNP)"
"2010-03-27";"Rockets";"Kevin Martin";"sore left shoulder (DNP)"
"2010-03-27";"Rockets";"Mike Harris";"flu (DTD)"
"2010-03-27";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-03-27";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-27";"Wizards";"Al Thornton";"strained right hip flexor (DNP)"
"2010-03-27";"Wizards";"Randy Foye";"strained ligament in left wrist (DNP)"
"2010-03-28";"Kings";"Sean May";"bruised right knee (DNP)"
"2010-03-28";"Kings";"Spencer Hawes";"strained lower back (DNP)"
"2010-03-28";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-03-28";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-03-28";"Warriors";"Monta Ellis";"flu (DNP)"
"2010-03-28";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-28";"Kings";"Jon Brockman";"sprained MCL in right knee (DNP)"
"2010-03-29";"Bobcats";"Tyrus Thomas";"sprained left ankle (DNP)"
"2010-03-29";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-29";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-03-29";"Kings";"Dominic McGuire";"torn right plantar fascia (out for season)"
"2010-03-29";"Knicks";"Eddy Curry";"right calf injury / left knee injury (CBC) (out for season)"
"2010-03-29";"Knicks";"Jonathan Bender";"fractured finger on left hand (DNP)"
"2010-03-29";"Knicks";"Wilson Chandler";"sore left groin (DNP)"
"2010-03-29";"Lakers";"Andrew Bynum";"strained left Achilles tendon (DNP)"
"2010-03-29";"Mavericks";"Jose Juan Barea / Jose Barea / J.J. Barea";"sore left ankle (DNP)"
"2010-03-29";"Spurs";"Emanuel Ginobili / Manu Ginobili";"back spasms (DNP)"
"2010-03-30";"76ers";"Louis Williams / Lou Williams";"sore lower back (DNP)"
"2010-03-30";"76ers";"Thaddeus Young";"fractured right thumb (DNP)"
"2010-03-30";"Kings";"Dominic McGuire";"torn right plantar fascia (DNP)"
"2010-03-30";"Kings";"Omri Casspi";"virus (DNP)"
"2010-03-30";"Kings";"Sean May";"sore right knee (DNP)"
"2010-03-30";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-03-30";"Rockets";"Jared Jeffries";"strained left Achilles tendon (DNP)"
"2010-03-30";"Rockets";"Kevin Martin";"sore left shoulder (DNP)"
"2010-03-30";"Wizards";"Al Thornton";"strained right hip flexor (DNP)"
"2010-03-30";"Wizards";"Randy Foye";"strained ligament in left wrist (DNP)"
"2010-03-31";"76ers";"Louis Williams / Lou Williams";"sore lower back (DNP)"
"2010-03-31";"76ers";"Rodney Carney";"right foot injury (DNP)"
"2010-03-31";"76ers";"Thaddeus Young";"fractured right thumb (DNP)"
"2010-03-31";"Bobcats";"Tyrus Thomas";"foot injury (DNP)"
"2010-03-31";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-03-31";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-03-31";"Kings";"Sean May";"bruised right knee (DNP)"
"2010-03-31";"Kings";"Spencer Hawes";"bruised left hamstring/knee (CBC) (DNP)"
"2010-03-31";"Knicks";"Jonathan Bender";"fractured finger on left hand (DNP)"
"2010-03-31";"Knicks";"Wilson Chandler";"sore left groin (DNP)"
"2010-03-31";"Lakers";"Andrew Bynum";"strained left Achilles tendon (DNP)"
"2010-03-31";"Rockets";"Jared Jeffries";"strained left Achilles tendon (DNP)"
"2010-03-31";"Rockets";"Kevin Martin";"sprained left shoulder (DNP)"
"2010-03-31";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-03-31";"Warriors";"Monta Ellis";"flu (DNP)"
"2010-03-31";"Warriors";"Ronny Turiaf";"flu (DNP)"
"2010-03-31";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-03-31";"Wizards";"Al Thornton";"strained right hip flexor (DNP)"
"2010-04-01";"Grizzlies";"Marc Gasol";"placed on IL with partially torn neck muscle (out for season)"
"2010-04-01";"Knicks";"Al Harrington";"left ankle injury (DNP)"
"2010-04-02";"Grizzlies";"Marc Gasol";"partially torn neck muscle (DNP)"
"2010-04-02";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-04-02";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-04-02";"Knicks";"Jonathan Bender";"fractured finger on left hand (DNP)"
"2010-04-02";"Lakers";"Andrew Bynum";"strained left Achilles tendon (DNP)"
"2010-04-02";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-04-02";"Pistons";"Jason Maxiell";"strained back (DNP)"
"2010-04-02";"Rockets";"Jared Jeffries";"strained left Achilles tendon (DNP)"
"2010-04-02";"Rockets";"Kevin Martin";"sprained left shoulder (DNP)"
"2010-04-02";"Rockets";"Trevor Ariza";"flu-like symptoms (DNP)"
"2010-04-02";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-04-02";"Warriors";"Monta Ellis";"flu (DNP)"
"2010-04-02";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-04-02";"Wizards";"Al Thornton";"strained right hip flexor (DNP)"
"2010-04-03";"76ers";"Rodney Carney";"bruised right big toe (DNP)"
"2010-04-03";"76ers";"Thaddeus Young";"fractured right thumb (DNP)"
"2010-04-03";"Bucks";"Andrew Bogut";"dislocated right elbow, sprained wrist, broken right hand (out indefinitely)"
"2010-04-03";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-04-03";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-04-03";"Nuggets";"Chris Andersen";"sprained left ankle (DNP)"
"2010-04-03";"Pistons";"Ben Wallace";"sore knees (DNP)"
"2010-04-03";"Pistons";"Jason Maxiell";"strained back (DNP)"
"2010-04-04";"Grizzlies";"Marc Gasol";"partially torn neck muscle (DNP)"
"2010-04-04";"Knicks";"Jonathan Bender";"fractured finger on left hand (DNP)"
"2010-04-04";"Knicks";"Tracy McGrady";"sore left knee (DNP)"
"2010-04-04";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-04-04";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-04-04";"Warriors";"Monta Ellis";"flu (DNP)"
"2010-04-04";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-04-04";"Wizards";"Al Thornton";"strained right hip flexor (DNP)"
"2010-04-04";"Wizards";"Quinton Ross";"bruised lower back (DNP)"
"2010-04-05";"Bucks";"Andrew Bogut";"surgery to repair broken right hand"
"2010-04-06";"76ers";"Rodney Carney";"right big toe injury (DNP)"
"2010-04-06";"76ers";"Thaddeus Young";"fractured right thumb (DNP)"
"2010-04-06";"Grizzlies";"Marc Gasol";"partially torn neck muscle (DNP)"
"2010-04-06";"Hawks";"Mike Bibby";"removal of ingrown toenail (DNP)"
"2010-04-06";"Jazz";"Kyrylo Fesenko";"sore throat (DNP)"
